,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-06,美国,208790,14983425,8787738,287825
1,2020-12-06,印度,36652,9608211,9058822,139700
2,2020-12-06,巴西,43209,6577177,5864838,176628
3,2020-12-06,俄罗斯,28450,2410462,1899474,42228
4,2020-12-06,法国,12923,2334626,174992,55073
5,2020-12-06,英国,15573,1710379,3650,61111
6,2020-12-06,意大利,21052,1709991,896308,59514
7,2020-12-06,西班牙,5554,1699145,196958,46252
8,2020-12-06,阿根廷,5201,1459832,1288785,39632
9,2020-12-06,哥伦比亚,9642,1362249,1249702,37633
10,2020-12-06,德国,10242,1170095,842805,18654
11,2020-12-06,墨西哥,11625,1168395,859643,109456
12,2020-12-06,波兰,12427,1054273,687910,19861
13,2020-12-06,伊朗,12151,1028986,719708,50016
14,2020-12-06,秘鲁,3785,970860,903958,36195
15,2020-12-06,乌克兰,14157,822985,429455,13877
16,2020-12-06,南非,4645,810449,744298,22067
17,2020-12-06,土耳其,31896,797893,427242,14705
18,2020-12-06,比利时,2582,587439,33687,17142
19,2020-12-06,印度尼西亚,6027,569707,470449,17589
20,2020-12-06,伊拉克,1898,562520,491657,12411
21,2020-12-06,荷兰,136,559697,7256,9743
22,2020-12-06,智利,1533,558668,533250,15592
23,2020-12-06,捷克,1773,544179,476669,8815
24,2020-12-06,罗马尼亚,8072,508345,399207,12186
25,2020-12-06,孟加拉,1798,475789,393408,6807
26,2020-12-06,菲律宾,1724,438069,399582,8526
27,2020-12-06,巴基斯坦,3119,413191,352529,8303
28,2020-12-06,加拿大,6354,412543,329676,12607
29,2020-12-06,摩洛哥,4118,376738,327693,6184
30,2020-12-06,沙特阿拉伯,190,358526,348562,5954
31,2020-12-06,瑞士,0,344497,260600,5324
32,2020-12-06,以色列,1725,343826,327749,2909
33,2020-12-06,葡萄牙,6087,318640,240203,4876
34,2020-12-06,奥地利,3444,300689,249441,3757
35,2020-12-06,瑞典,0,278912,4917,7067
36,2020-12-06,匈牙利,5525,243581,70396,5706
37,2020-12-06,尼泊尔,1024,239885,224053,1577
38,2020-12-06,约旦,6276,237513,182463,3010
39,2020-12-06,塞尔维亚,6903,213843,15913,1891
40,2020-12-06,厄瓜多尔,909,197391,169804,13756
41,2020-12-06,哈萨克斯坦,773,179151,150271,2484
42,2020-12-06,巴拿马,2300,175907,151247,3173
43,2020-12-06,阿联酋,1214,175276,158498,589
44,2020-12-06,日本,2483,160870,133287,2229
45,2020-12-06,保加利亚,2037,160844,60673,4729
46,2020-12-06,格鲁吉亚,5450,158154,129210,1462
47,2020-12-06,多米尼加,975,147655,116329,2345
48,2020-12-06,克罗地亚,4084,147454,120857,2102
49,2020-12-06,玻利维亚,167,145492,124596,8992
50,2020-12-06,白俄罗斯,1896,145279,122339,1198
51,2020-12-06,科威特,247,144164,139610,889
52,2020-12-06,哥斯达黎加,1180,143685,95789,1773
53,2020-12-06,阿塞拜疆,4323,142323,85980,1593
54,2020-12-06,亚美尼亚,1267,140959,116066,2309
55,2020-12-06,卡塔尔,140,139783,137060,239
56,2020-12-06,黎巴嫩,1478,134295,86019,1078
57,2020-12-06,危地马拉,1299,125352,113870,4239
58,2020-12-06,阿曼,0,124329,115866,1435
59,2020-12-06,埃及,431,118014,103324,6750
60,2020-12-06,摩尔多瓦,1728,115557,99606,2403
61,2020-12-06,斯洛伐克,2070,115462,79956,981
62,2020-12-06,希腊,1383,114568,23074,2902
63,2020-12-06,埃塞俄比亚,649,112740,79579,1745
64,2020-12-06,洪都拉斯,200,109960,49096,2941
65,2020-12-06,委内瑞拉,329,103877,98879,913
66,2020-12-06,突尼斯,1091,102991,76441,3526
67,2020-12-06,缅甸,1527,98047,76382,2081
68,2020-12-06,巴勒斯坦,1422,96098,71236,812
69,2020-12-06,波黑,975,93768,58034,2922
70,2020-12-06,丹麦,1,89382,70387,878
71,2020-12-06,肯尼亚,735,87984,68532,1518
72,2020-12-06,巴林,132,87732,85876,341
73,2020-12-06,阿尔及利亚,772,87502,56617,2501
74,2020-12-06,巴拉圭,714,87213,61283,1833
75,2020-12-06,利比亚,0,85529,56048,1219
76,2020-12-06,斯洛文尼亚,3426,84775,62600,1700
77,2020-12-06,吉尔吉斯斯坦,401,74774,66538,1290
78,2020-12-06,爱尔兰,457,73948,23364,2099
79,2020-12-06,乌兹别克斯坦,159,73751,71002,611
80,2020-12-06,立陶宛,2848,72430,30277,611
81,2020-12-06,马来西亚,1123,71359,60204,380
82,2020-12-06,尼日利亚,310,68937,64650,1180
83,2020-12-06,北马其顿,981,67311,42872,1901
84,2020-12-06,新加坡,13,58255,58158,29
85,2020-12-06,加纳,429,52096,50924,325
86,2020-12-06,阿富汗,235,47072,37393,1864
87,2020-12-06,阿尔巴尼亚,1647,42148,21286,889
88,2020-12-06,萨尔瓦多,0,39718,36286,1153
89,2020-12-06,挪威,112,38073,17998,354
90,2020-12-06,黑山,412,37879,26809,530
91,2020-12-06,韩国,631,37546,29128,545
92,2020-12-06,卢森堡,588,37017,28029,345
93,2020-12-06,澳大利亚,7,27963,25636,908
94,2020-12-06,斯里兰卡,1190,27228,20090,137
95,2020-12-06,芬兰,460,27218,18100,415
96,2020-12-06,喀麦隆,265,24752,23344,443
97,2020-12-06,乌干达,290,22188,9117,206
98,2020-12-06,科特迪瓦,29,21441,21090,132
99,2020-12-06,拉脱维亚,794,20787,1866,253
100,2020-12-06,苏丹,661,19196,10942,1290
101,2020-12-06,赞比亚,41,17898,17168,364
102,2020-12-06,马达加斯加,0,17513,16927,255
103,2020-12-06,塞内加尔,100,16397,15731,337
104,2020-12-06,莫桑比克,95,16133,14343,133
105,2020-12-06,安哥拉,43,15536,8335,354
106,2020-12-06,纳米比亚,351,14950,13908,152
107,2020-12-06,爱沙尼亚,561,14500,8919,126
108,2020-12-06,刚果（金）,132,13413,11857,342
109,2020-12-06,几内亚,47,13233,12355,76
110,2020-12-06,马尔代夫,16,13159,12264,47
111,2020-12-06,塔吉克斯坦,81,12389,11796,87
