,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-05,美国,235272,14772535,8658882,285550
1,2020-12-05,印度,36652,9608211,9058822,139700
2,2020-12-05,巴西,46884,6533968,5825745,175964
3,2020-12-05,俄罗斯,27078,2382012,1872214,41730
4,2020-12-05,法国,11432,2321703,173986,54859
5,2020-12-05,西班牙,5554,1699145,196958,46252
6,2020-12-05,英国,16377,1694800,3637,60714
7,2020-12-05,意大利,24110,1688939,872385,58852
8,2020-12-05,阿根廷,6899,1454631,1281955,39512
9,2020-12-05,哥伦比亚,9285,1352607,1240990,37467
10,2020-12-05,德国,11869,1157514,831935,18577
11,2020-12-05,墨西哥,12127,1156770,852719,108863
12,2020-12-05,波兰,13236,1041846,666413,19359
13,2020-12-05,伊朗,13341,1016835,708106,49695
14,2020-12-05,秘鲁,3470,967075,903958,36076
15,2020-12-05,乌克兰,15456,808828,414347,13641
16,2020-12-05,南非,4932,805804,740450,21963
17,2020-12-05,土耳其,32736,765997,423142,14509
18,2020-12-05,比利时,2582,587439,0,17142
19,2020-12-05,印度尼西亚,5803,563680,466178,17479
20,2020-12-05,伊拉克,1855,560622,489772,12387
21,2020-12-05,智利,3237,557135,531543,15558
22,2020-12-05,荷兰,184,553040,7203,9704
23,2020-12-05,捷克,4743,542406,473994,8738
24,2020-12-05,罗马尼亚,8062,500273,390212,12052
25,2020-12-05,孟加拉,2252,473991,390951,6772
26,2020-12-05,菲律宾,932,436345,399345,8509
27,2020-12-05,巴基斯坦,3119,413191,352529,8303
28,2020-12-05,加拿大,5960,406189,324802,12519
29,2020-12-05,摩洛哥,3996,372620,323814,6136
30,2020-12-05,沙特阿拉伯,234,358336,348238,5940
31,2020-12-05,瑞士,4382,344497,260600,5293
32,2020-12-05,以色列,341,342101,327162,2896
33,2020-12-05,葡萄牙,4935,312553,234038,4803
34,2020-12-05,奥地利,3815,297245,243775,3651
35,2020-12-05,瑞典,6269,278912,4917,7067
36,2020-12-05,尼泊尔,1272,238861,221847,1567
37,2020-12-05,匈牙利,6212,238056,68525,5513
38,2020-12-05,约旦,3116,234353,177195,2960
39,2020-12-05,塞尔维亚,7782,206940,15913,1834
40,2020-12-05,厄瓜多尔,598,196482,169804,13696
41,2020-12-05,哈萨克斯坦,992,178378,150271,2484
42,2020-12-05,阿联酋,1311,174062,157828,586
43,2020-12-05,巴拿马,2388,173607,150051,3154
44,2020-12-05,保加利亚,3614,158807,59677,4650
45,2020-12-05,日本,21,158408,131020,2210
46,2020-12-05,格鲁吉亚,5068,152704,126904,1425
47,2020-12-05,多米尼加,671,146680,116169,2343
48,2020-12-05,玻利维亚,139,145325,124390,8987
49,2020-12-05,科威特,343,143917,139148,886
50,2020-12-05,哥斯达黎加,1180,143685,95789,1773
51,2020-12-05,白俄罗斯,1774,143383,120571,1190
52,2020-12-05,克罗地亚,3955,143370,117148,2032
53,2020-12-05,亚美尼亚,1184,139692,114990,2277
54,2020-12-05,卡塔尔,166,139643,136872,239
55,2020-12-05,阿塞拜疆,4267,138000,83800,1551
56,2020-12-05,黎巴嫩,1478,134295,86019,1078
57,2020-12-05,危地马拉,752,124805,113273,4224
58,2020-12-05,阿曼,0,124329,115866,1435
59,2020-12-05,埃及,427,117583,103191,6732
60,2020-12-05,摩尔多瓦,1522,113829,98276,2384
61,2020-12-05,斯洛伐克,2184,113392,77142,957
62,2020-12-05,希腊,1648,113185,23074,2804
63,2020-12-05,埃塞俄比亚,512,112091,78619,1734
64,2020-12-05,洪都拉斯,616,109760,48953,2938
65,2020-12-05,委内瑞拉,329,103877,98879,913
66,2020-12-05,突尼斯,2620,101900,75464,3481
67,2020-12-05,缅甸,1502,96520,74973,2059
68,2020-12-05,巴勒斯坦,1968,94676,70206,797
69,2020-12-05,波黑,1254,92793,57545,2865
70,2020-12-05,巴林,168,87600,85710,341
71,2020-12-05,丹麦,1605,87266,69150,867
72,2020-12-05,肯尼亚,866,87249,68110,1506
73,2020-12-05,阿尔及利亚,803,86730,56079,2492
74,2020-12-05,巴拉圭,1022,86499,60644,1813
75,2020-12-05,利比亚,680,85529,56048,1219
76,2020-12-05,斯洛文尼亚,1784,83133,60957,1653
77,2020-12-05,吉尔吉斯斯坦,401,74774,66538,1290
78,2020-12-05,乌兹别克斯坦,159,73751,71002,611
79,2020-12-05,爱尔兰,263,73491,23364,2086
80,2020-12-05,马来西亚,1141,70236,59061,376
81,2020-12-05,立陶宛,7067,69582,27760,590
82,2020-12-05,尼日利亚,324,68627,64467,1179
83,2020-12-05,北马其顿,1099,66330,42241,1877
84,2020-12-05,新加坡,3,58242,58152,29
85,2020-12-05,加纳,429,52096,50924,325
86,2020-12-05,阿富汗,119,46837,37260,1846
87,2020-12-05,阿尔巴尼亚,801,41302,20974,870
88,2020-12-05,萨尔瓦多,588,39718,36286,1153
89,2020-12-05,挪威,430,37801,17998,354
90,2020-12-05,黑山,535,37467,26414,522
91,2020-12-05,卢森堡,588,37017,28029,345
92,2020-12-05,韩国,583,36915,28917,540
93,2020-12-05,澳大利亚,7,27956,25634,908
94,2020-12-05,芬兰,336,26758,18100,408
95,2020-12-05,斯里兰卡,521,26559,19438,130
96,2020-12-05,喀麦隆,265,24752,23344,443
97,2020-12-05,乌干达,286,21898,9117,206
98,2020-12-05,科特迪瓦,23,21412,21054,132
99,2020-12-05,拉脱维亚,686,19993,1849,242
100,2020-12-05,苏丹,281,18535,10672,1271
101,2020-12-05,赞比亚,127,17857,17145,364
102,2020-12-05,马达加斯加,172,17513,16657,255
103,2020-12-05,塞内加尔,80,16297,15707,336
104,2020-12-05,莫桑比克,120,16038,14160,133
105,2020-12-05,安哥拉,132,15493,8299,353
106,2020-12-05,纳米比亚,205,14804,13874,152
107,2020-12-05,爱沙尼亚,470,13939,8549,125
108,2020-12-05,刚果（金）,149,13281,11753,337
109,2020-12-05,几内亚,19,13186,12270,76
110,2020-12-05,马尔代夫,37,13143,12199,47
111,2020-12-05,塔吉克斯坦,41,12349,11758,87
112,2020-12-05,塞浦路斯,289,11812,2057,57
113,2020-12-05,博茨瓦纳,789,11531,8978,34
114,2020-12-05,佛得角,58,10996,10496,108
115,2020-12-05,牙买加,76,10987,6730,260
116,2020-12-05,津巴布韦,123,10547,8802,281
117,2020-12-05,马耳他,123,10320,8120,149
118,2020-12-05,海地,16,9347,8124,233
119,2020-12-05,加蓬,15,9254,9106,60
120,2020-12-05,毛里塔尼亚,176,9181,7812,182
121,2020-12-05,古巴,79,8610,7858,136
122,2020-12-05,叙利亚,86,8233,3811,437
123,2020-12-05,巴哈马,16,7565,5976,163
124,2020-12-05,伯利兹,147,7383,3725,170
125,2020-12-05,安道尔,51,6955,6130,77
126,2020-12-05,特立尼达和多巴哥,10,6735,5884,121
127,2020-12-05,乌拉圭,276,6731,4826,80
128,2020-12-05,斯威士兰,6,6480,6066,122
129,2020-12-05,马拉维,4,6047,5472,185
130,2020-12-05,卢旺达,32,6043,5672,51
131,2020-12-05,尼加拉瓜,0,5838,4225,161
132,2020-12-05,刚果（布）,0,5774,4988,94
133,2020-12-05,吉布提,1,5690,5592,61
134,2020-12-05,圭亚那,73,5601,4695,151
135,2020-12-05,冰岛,14,5462,5223,27
136,2020-12-05,苏里南,2,5322,5205,117
137,2020-12-05,赤道几内亚,3,5159,5023,85
138,2020-12-05,马里,58,4938,3307,163
139,2020-12-05,中非共和国,0,4918,1924,63
140,2020-12-05,索马里,0,4525,3480,121
141,2020-12-05,泰国,19,4072,3848,60
142,2020-12-05,冈比亚,1,3768,3613,123
143,2020-12-05,布基纳法索,29,3091,2687,68
144,2020-12-05,贝宁,0,3055,2907,44
145,2020-12-05,多哥,12,3051,2599,65
146,2020-12-05,几内亚比绍,0,2441,2327,44
147,2020-12-05,塞拉利昂,4,2420,1842,74
148,2020-12-05,也门,28,2267,1534,627
149,2020-12-05,莱索托,5,2150,1278,44
150,2020-12-05,新西兰,9,2078,1994,25
151,2020-12-05,圣马力诺,42,1756,1381,47
152,2020-12-05,尼日尔,86,1726,1237,77
153,2020-12-05,乍得,11,1719,1555,102
154,2020-12-05,利比里亚,13,1676,1358,83
155,2020-12-05,越南,0,1361,1220,35
156,2020-12-05,列支敦士登公国,12,1351,1183,17
157,2020-12-05,蒙古,11,842,368,0
158,2020-12-05,钻石号邮轮,0,712,699,13
159,2020-12-05,布隆迪,3,692,575,1
160,2020-12-05,巴布亚新几内亚,2,671,597,7
161,2020-12-05,厄立特里亚,38,632,508,0
162,2020-12-05,摩纳哥,9,630,571,3
163,2020-12-05,科摩罗,2,615,590,7
164,2020-12-05,坦桑尼亚,0,509,183,21
165,2020-12-05,毛里求斯,0,508,465,10
166,2020-12-05,不丹,6,424,387,0
167,2020-12-05,柬埔寨,10,345,305,0
168,2020-12-05,巴巴多斯,3,284,257,7
169,2020-12-05,圣卢西亚,1,262,141,2
170,2020-12-05,塞舌尔,1,184,168,0
171,2020-12-05,文莱,0,151,146,3
172,2020-12-05,安提瓜和巴布达,0,144,133,4
173,2020-12-05,圣文森特和格林纳丁斯,2,87,80,0
174,2020-12-05,多米尼克,0,85,72,0
175,2020-12-05,斐济,2,44,33,2
176,2020-12-05,格林纳达,0,41,39,0
177,2020-12-05,老挝,0,39,26,0
178,2020-12-05,马提尼克岛,5,37,0,1
179,2020-12-05,东帝汶,0,31,30,0
180,2020-12-05,梵蒂冈,0,27,15,0
181,2020-12-05,圣基茨和尼维斯,0,22,19,0
182,2020-12-05,所罗门群岛,0,17,5,0
183,2020-12-05,马绍尔群岛,0,4,4,0
184,2020-12-05,瓦努阿图,0,1,1,0
185,2020-12-05,中国,133,94038,87777,4753
