,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-14,美国,149570,16698936,9704536,306154
1,2020-12-14,印度,30254,9857029,9357464,143019
2,2020-12-14,巴西,21825,6901952,6138349,181402
3,2020-12-14,俄罗斯,27651,2629699,2086887,46404
4,2020-12-14,法国,25357,2430612,182685,58015
5,2020-12-14,英国,18538,1854490,4012,64267
6,2020-12-14,意大利,17937,1843712,1093161,64520
7,2020-12-14,西班牙,7053,1741439,196958,47624
8,2020-12-14,阿根廷,3558,1498160,1335317,40766
9,2020-12-14,哥伦比亚,8702,1425774,1314836,39053
10,2020-12-14,德国,2380,1338481,976802,21935
11,2020-12-14,墨西哥,12057,1241436,911965,113704
12,2020-12-14,波兰,8976,1135676,858895,22864
13,2020-12-14,伊朗,7451,1108269,812270,52196
14,2020-12-14,秘鲁,0,980943,916335,36544
15,2020-12-14,土耳其,32106,955766,452593,15751
16,2020-12-14,乌克兰,9605,918444,520912,15691
17,2020-12-14,南非,7999,860964,761011,23276
18,2020-12-14,荷兰,5,623519,7844,10133
19,2020-12-14,印度尼西亚,6189,617820,505836,18819
20,2020-12-14,比利时,2807,605966,33687,17902
21,2020-12-14,捷克,3657,579079,504666,9535
22,2020-12-14,伊拉克,1012,574634,507446,12579
23,2020-12-14,智利,2138,571919,544832,15886
24,2020-12-14,罗马尼亚,4435,556335,457360,13385
25,2020-12-14,孟加拉,1355,490533,420896,7052
26,2020-12-14,加拿大,5916,464443,378653,13451
27,2020-12-14,菲律宾,1069,449400,418687,8733
28,2020-12-14,巴基斯坦,3369,438425,383000,8796
29,2020-12-14,摩洛哥,2012,399609,356023,6624
30,2020-12-14,瑞士,0,373831,291500,5985
31,2020-12-14,沙特阿拉伯,139,359888,350549,6048
32,2020-12-14,以色列,926,357176,337186,2999
33,2020-12-14,葡萄牙,4044,348744,271322,5559
34,2020-12-14,奥地利,2641,322463,281106,4473
35,2020-12-14,瑞典,0,320098,4917,7514
36,2020-12-14,匈牙利,4153,280400,80752,6965
37,2020-12-14,塞尔维亚,10674,266432,15913,2331
38,2020-12-14,约旦,2339,259614,218467,3365
39,2020-12-14,尼泊尔,830,248423,235731,1698
40,2020-12-14,厄瓜多尔,586,202110,177951,13875
41,2020-12-14,巴拿马,2806,190585,160641,3331
42,2020-12-14,格鲁吉亚,2720,189726,158183,1790
43,2020-12-14,哈萨克斯坦,956,185513,156848,2552
44,2020-12-14,阿联酋,1194,184949,163679,617
45,2020-12-14,日本,2392,180599,149130,2480
46,2020-12-14,保加利亚,497,179449,83720,5688
47,2020-12-14,克罗地亚,3363,175886,148211,2640
48,2020-12-14,阿塞拜疆,4451,175874,111918,1922
49,2020-12-14,白俄罗斯,1961,160295,138464,1263
50,2020-12-14,多米尼加,1107,154692,120481,2361
51,2020-12-14,哥斯达黎加,0,150947,112622,1895
52,2020-12-14,亚美尼亚,1013,148325,125169,2486
53,2020-12-14,玻利维亚,333,147030,126092,9014
54,2020-12-14,黎巴嫩,1275,146520,101334,1200
55,2020-12-14,科威特,429,146218,142094,911
56,2020-12-14,卡塔尔,134,140961,138490,240
57,2020-12-14,斯洛伐克,5897,132984,97068,1175
58,2020-12-14,危地马拉,741,129282,117923,4423
59,2020-12-14,摩尔多瓦,2254,126518,108901,2572
60,2020-12-14,阿曼,571,126240,118048,1471
61,2020-12-14,希腊,692,124534,23074,3625
62,2020-12-14,埃及,486,121575,104875,6920
63,2020-12-14,埃塞俄比亚,472,116769,93890,1806
64,2020-12-14,洪都拉斯,335,114043,51410,2974
65,2020-12-14,突尼斯,968,111361,84741,3894
66,2020-12-14,丹麦,6197,110305,79918,941
67,2020-12-14,巴勒斯坦,1639,109738,85110,978
68,2020-12-14,缅甸,1127,108342,86795,2268
69,2020-12-14,委内瑞拉,609,107786,102289,954
70,2020-12-14,波黑,1574,101117,65758,3336
71,2020-12-14,斯洛文尼亚,833,96314,73377,2063
72,2020-12-14,巴拉圭,669,93582,66543,1953
73,2020-12-14,立陶宛,2849,93101,38893,815
74,2020-12-14,阿尔及利亚,464,92102,60457,2596
75,2020-12-14,肯尼亚,366,91892,73028,1587
76,2020-12-14,利比亚,899,90779,60895,1299
77,2020-12-14,巴林,178,89143,87182,348
78,2020-12-14,马来西亚,1229,83475,69393,415
79,2020-12-14,吉尔吉斯斯坦,297,77356,70192,1307
80,2020-12-14,爱尔兰,429,76185,23364,2124
81,2020-12-14,乌兹别克斯坦,145,74956,72243,612
82,2020-12-14,北马其顿,613,73638,49414,2121
83,2020-12-14,尼日利亚,418,73175,66090,1197
84,2020-12-14,新加坡,7,58320,58208,29
85,2020-12-14,加纳,195,52933,51676,327
86,2020-12-14,阿尔巴尼亚,788,48530,24820,1003
87,2020-12-14,阿富汗,298,48527,38250,1965
88,2020-12-14,韩国,1030,42766,31814,580
89,2020-12-14,黑山,478,41426,30493,582
90,2020-12-14,萨尔瓦多,231,41394,37667,1200
91,2020-12-14,挪威,200,41003,17998,387
92,2020-12-14,卢森堡,0,40755,31678,392
93,2020-12-14,斯里兰卡,140,32790,23793,152
94,2020-12-14,芬兰,360,30810,20000,453
95,2020-12-14,澳大利亚,5,28036,25676,908
96,2020-12-14,乌干达,1163,27532,9826,221
97,2020-12-14,拉脱维亚,629,25675,16778,349
98,2020-12-14,喀麦隆,56,25143,23851,443
99,2020-12-14,科特迪瓦,41,21680,21298,133
100,2020-12-14,苏丹,239,21386,12313,1347
101,2020-12-14,赞比亚,57,18274,17388,367
102,2020-12-14,爱沙尼亚,342,18055,11037,149
103,2020-12-14,马达加斯加,0,17587,16992,259
104,2020-12-14,塞内加尔,14,17075,16094,349
105,2020-12-14,莫桑比克,142,16954,14818,142
106,2020-12-14,纳米比亚,267,16536,14684,160
107,2020-12-14,安哥拉,27,16188,8898,371
108,2020-12-14,塞浦路斯,301,15101,2057,78
109,2020-12-14,刚果（金）,119,14461,12465,352
110,2020-12-14,几内亚,22,13420,12657,79
111,2020-12-14,马尔代夫,20,13368,12706,48
112,2020-12-14,塔吉克斯坦,80,12704,12133,88
113,2020-12-14,博茨瓦纳,0,12501,9940,37
114,2020-12-14,牙买加,201,11710,7954,273
115,2020-12-14,佛得角,55,11357,10962,110
116,2020-12-14,津巴布韦,27,11246,9451,307
117,2020-12-14,马耳他,52,11153,9169,169
118,2020-12-14,毛里塔尼亚,191,10971,8076,225
119,2020-12-14,乌拉圭,528,9708,6358,92
120,2020-12-14,海地,26,9491,8241,233
121,2020-12-14,古巴,69,9423,8434,137
122,2020-12-14,加蓬,0,9330,9182,63
123,2020-12-14,伯利兹,122,9295,4321,195
124,2020-12-14,叙利亚,125,9166,4376,518
125,2020-12-14,巴哈马,36,7659,6069,163
126,2020-12-14,安道尔,50,7338,6629,79
127,2020-12-14,特立尼达和多巴哥,15,6879,6145,122
128,2020-12-14,斯威士兰,54,6768,6379,127
129,2020-12-14,卢旺达,131,6659,5955,56
130,2020-12-14,马拉维,3,6066,5491,187
131,2020-12-14,刚果（布）,0,6049,4988,99
132,2020-12-14,圭亚那,41,5920,5073,155
133,2020-12-14,尼加拉瓜,0,5887,4225,162
134,2020-12-14,马里,93,5814,3591,194
135,2020-12-14,吉布提,3,5728,5618,61
136,2020-12-14,冰岛,5,5557,5366,28
137,2020-12-14,苏里南,13,5353,5224,117
138,2020-12-14,赤道几内亚,0,5185,5058,85
139,2020-12-14,中非共和国,0,4936,1924,63
140,2020-12-14,索马里,0,4579,3529,121
141,2020-12-14,泰国,17,4209,3923,60
142,2020-12-14,布基纳法索,136,4030,2910,71
143,2020-12-14,冈比亚,3,3782,3647,123
144,2020-12-14,多哥,30,3251,2771,66
145,2020-12-14,贝宁,0,3090,2972,44
146,2020-12-14,几内亚比绍,0,2444,2337,44
147,2020-12-14,塞拉利昂,2,2440,1850,75
148,2020-12-14,尼日尔,59,2258,1292,80
149,2020-12-14,莱索托,0,2250,1319,44
150,2020-12-14,新西兰,4,2096,2015,25
151,2020-12-14,也门,1,2083,1383,606
152,2020-12-14,圣马力诺,0,1932,1575,51
153,2020-12-14,乍得,19,1770,1607,102
154,2020-12-14,利比里亚,0,1676,1358,83
155,2020-12-14,列支敦士登公国,32,1514,1296,20
156,2020-12-14,越南,2,1397,1241,35
157,2020-12-14,蒙古,1,907,384,0
158,2020-12-14,布隆迪,1,729,640,1
159,2020-12-14,巴布亚新几内亚,0,720,601,8
161,2020-12-14,厄立特里亚,55,711,564,0
162,2020-12-14,摩纳哥,9,668,597,3
163,2020-12-14,科摩罗,11,628,606,7
164,2020-12-14,毛里求斯,0,515,478,10
165,2020-12-14,坦桑尼亚,0,509,183,21
166,2020-12-14,不丹,1,437,400,0
167,2020-12-14,柬埔寨,2,359,307,0
168,2020-12-14,巴巴多斯,0,292,269,7
169,2020-12-14,圣卢西亚,1,275,203,4
170,2020-12-14,塞舌尔,0,187,182,0
171,2020-12-14,文莱,0,152,147,3
172,2020-12-14,安提瓜和巴布达,1,148,138,4
173,2020-12-14,圣文森特和格林纳丁斯,4,98,81,0
174,2020-12-14,多米尼克,0,87,81,0
175,2020-12-14,斐济,0,44,35,2
176,2020-12-14,格林纳达,0,43,41,0
177,2020-12-14,老挝,0,41,33,0
178,2020-12-14,马提尼克岛,5,37,0,1
179,2020-12-14,东帝汶,0,31,30,0
180,2020-12-14,梵蒂冈,0,27,15,0
