,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-15,美国,198647,16942822,9871663,308089
1,2020-12-15,印度,27071,9884100,9388159,143355
2,2020-12-15,巴西,21825,6901952,6138349,181402
3,2020-12-15,俄罗斯,26902,2656601,2105414,46846
4,2020-12-15,法国,3247,2433859,183340,58391
5,2020-12-15,英国,20313,1874803,4048,64500
6,2020-12-15,土耳其,29617,1866345,1631944,16646
7,2020-12-15,意大利,12025,1855737,1115617,65011
8,2020-12-15,西班牙,7967,1762036,196958,48013
9,2020-12-15,阿根廷,5062,1503222,1340120,41041
10,2020-12-15,哥伦比亚,8742,1434516,1321469,39195
11,2020-12-15,德国,6331,1357141,996099,22330
12,2020-12-15,墨西哥,8608,1250044,918681,113953
13,2020-12-15,波兰,4896,1140572,869155,22960
14,2020-12-15,伊朗,7501,1115770,823231,52447
15,2020-12-15,秘鲁,4030,984973,918352,36677
16,2020-12-15,乌克兰,6877,925321,526101,15792
17,2020-12-15,南非,5163,866127,762746,23451
18,2020-12-15,荷兰,44,632068,7944,10168
19,2020-12-15,印度尼西亚,5489,623309,510957,18956
20,2020-12-15,比利时,2171,608137,33687,17951
21,2020-12-15,捷克,2000,581079,505922,9609
22,2020-12-15,伊拉克,1338,575972,509474,12603
23,2020-12-15,智利,1911,573830,546538,15931
24,2020-12-15,罗马尼亚,3252,559587,460780,13494
25,2020-12-15,孟加拉,1799,492332,423845,7089
26,2020-12-15,加拿大,7617,472820,385020,13569
27,2020-12-15,菲律宾,1333,450733,418723,8757
28,2020-12-15,巴基斯坦,2362,440787,384719,8832
29,2020-12-15,摩洛哥,1217,400826,359065,6659
30,2020-12-15,瑞士,10726,384557,308300,6154
31,2020-12-15,沙特阿拉伯,125,360013,350792,6059
32,2020-12-15,以色列,1213,359506,338418,3004
33,2020-12-15,葡萄牙,2194,350938,274277,5649
34,2020-12-15,奥地利,2588,325051,284174,4530
35,2020-12-15,瑞典,0,320098,4917,7514
36,2020-12-15,匈牙利,3470,283870,82546,7130
37,2020-12-15,塞尔维亚,4932,271364,15913,2380
38,2020-12-15,约旦,2863,262477,222654,3407
39,2020-12-15,尼泊尔,821,249244,236573,1716
40,2020-12-15,厄瓜多尔,70,202180,177951,13875
41,2020-12-15,巴拿马,1612,194619,163334,3382
42,2020-12-15,格鲁吉亚,1337,191063,161681,1839
43,2020-12-15,哈萨克斯坦,764,186277,157701,2552
44,2020-12-15,阿联酋,2286,186041,164349,618
