,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-16,美国,151623,17095527,9967921,310209
1,2020-12-16,印度,22065,9906165,9422636,143709
2,2020-12-16,巴西,42889,6970034,6206483,182799
3,2020-12-16,俄罗斯,26265,2682866,2129806,47410
4,2020-12-16,法国,11600,2445459,184780,59182
5,2020-12-16,土耳其,32102,1898447,1661191,16881
6,2020-12-16,英国,18541,1893430,4093,65006
7,2020-12-16,意大利,14839,1870576,1141406,65857
8,2020-12-16,西班牙,9452,1771488,196958,48401
9,2020-12-16,阿根廷,6981,1510203,1344300,41204
10,2020-12-16,哥伦比亚,10130,1444646,1328430,39356
11,2020-12-16,德国,11562,1378518,1013358,23100
12,2020-12-16,墨西哥,5930,1255974,927754,114298
13,2020-12-16,波兰,6874,1147446,879748,23309
14,2020-12-16,伊朗,7704,1123474,833276,52670
15,2020-12-16,秘鲁,1157,986130,920306,36754
16,2020-12-16,乌克兰,8840,934161,542672,16038
17,2020-12-16,南非,7552,873679,764977,23661
18,2020-12-16,荷兰,61,638779,8064,10254
19,2020-12-16,印度尼西亚,6120,629429,516656,19111
20,2020-12-16,比利时,1074,609211,33687,18054
21,2020-12-16,捷克,5172,586251,511798,9743
22,2020-12-16,伊拉克,1391,577363,511639,12614
23,2020-12-16,智利,3410,575329,548190,15949
24,2020-12-16,罗马尼亚,6171,565758,465050,13698
25,2020-12-16,孟加拉,1877,494209,426729,7129
26,2020-12-16,加拿大,6108,479064,389886,13685
27,2020-12-16,菲律宾,1106,451839,418867,8812
28,2020-12-16,巴基斯坦,2459,443246,386333,8905
29,2020-12-16,摩洛哥,2793,403619,362911,6711
30,2020-12-16,瑞士,4271,388828,311500,6266
31,2020-12-16,以色列,2337,360630,338784,3014
32,2020-12-16,沙特阿拉伯,142,360155,350993,6069
33,2020-12-16,葡萄牙,4832,353576,280038,5733
34,2020-12-16,瑞典,20931,341029,4917,7667
35,2020-12-16,奥地利,2628,327679,287750,4648
36,2020-12-16,匈牙利,1893,285763,83115,7237
37,2020-12-16,塞尔维亚,5884,277248,15913,2433
38,2020-12-16,约旦,5410,265024,226245,3437
39,2020-12-16,尼泊尔,936,250180,238569,1730
40,2020-12-16,厄瓜多尔,176,202356,177951,13896
41,2020-12-16,格鲁吉亚,3837,194900,164786,1883
42,2020-12-16,巴拿马,1612,194619,163334,3382
43,2020-12-16,阿联酋,1226,187267,165023,622
44,2020-12-16,哈萨克斯坦,683,186960,158705,2613
45,2020-12-16,日本,2433,184711,153363,2581
46,2020-12-16,保加利亚,2743,184287,87935,6005
47,2020-12-16,阿塞拜疆,4273,183259,119005,2007
48,2020-12-16,克罗地亚,2360,179718,155079,2778
49,2020-12-16,白俄罗斯,1911,164059,141443,1282
50,2020-12-16,多米尼加,613,155797,121323,2367
51,2020-12-16,哥斯达黎加,927,154096,121031,1956
52,2020-12-16,亚美尼亚,438,149120,127452,2529
53,2020-12-16,黎巴嫩,1264,148877,104207,1223
54,2020-12-16,玻利维亚,195,147345,126439,9024
55,2020-12-16,科威特,261,146710,142599,913
56,2020-12-16,卡塔尔,311,141272,138919,241
57,2020-12-16,斯洛伐克,2034,135523,100303,1251
58,2020-12-16,危地马拉,677,130082,118793,4476
59,2020-12-16,摩尔多瓦,1403,128656,111314,2625
60,2020-12-16,阿曼,215,126719,118505,1475
61,2020-12-16,希腊,1199,126372,23074,3785
62,2020-12-16,埃及,523,122609,105450,6966
63,2020-12-16,埃塞俄比亚,300,117542,96307,1813
64,2020-12-16,丹麦,2,116636,82623,961
65,2020-12-16,洪都拉斯,283,114642,51688,2989
66,2020-12-16,巴勒斯坦,2307,113409,88967,1023
67,2020-12-16,突尼斯,1483,113241,86801,3956
68,2020-12-16,缅甸,1155,110667,89418,2319
69,2020-12-16,委内瑞拉,339,108125,103037,960
70,2020-12-16,波黑,869,102330,67649,3457
71,2020-12-16,斯洛文尼亚,1536,98281,75017,2149
72,2020-12-16,立陶宛,1431,96452,41665,863
73,2020-12-16,巴拉圭,1130,95353,67953,1991
74,2020-12-16,阿尔及利亚,468,93065,61307,2623
75,2020-12-16,肯尼亚,567,92459,73979,1604
76,2020-12-16,利比亚,660,92017,62144,1319
77,2020-12-16,巴林,176,89444,87490,348
78,2020-12-16,马来西亚,1772,86618,71681,422
79,2020-12-16,吉尔吉斯斯坦,236,77910,70867,1316
80,2020-12-16,爱尔兰,327,76776,23364,2134
81,2020-12-16,乌兹别克斯坦,147,75241,72522,612
82,2020-12-16,北马其顿,881,74732,50852,2169
83,2020-12-16,尼日利亚,758,74132,66494,1200
84,2020-12-16,新加坡,16,58341,58233,29
85,2020-12-16,加纳,256,53270,51965,327
86,2020-12-16,阿尔巴尼亚,809,50000,25876,1028
87,2020-12-16,阿富汗,234,48952,38336,1995
88,2020-12-16,韩国,880,44364,32559,600
89,2020-12-16,黑山,345,42148,32097,597
90,2020-12-16,萨尔瓦多,252,42132,38260,1212
91,2020-12-16,卢森堡,1145,41900,33367,410
92,2020-12-16,挪威,233,41852,17998,395
93,2020-12-16,斯里兰卡,223,34121,24867,154
94,2020-12-16,芬兰,349,31459,20000,466
95,2020-12-16,乌干达,402,28168,10005,225
96,2020-12-16,澳大利亚,8,28056,25689,908
97,2020-12-16,拉脱维亚,587,26472,17477,357
98,2020-12-16,喀麦隆,145,25359,23851,445
99,2020-12-16,科特迪瓦,70,21775,21335,133
100,2020-12-16,苏丹,205,21591,12452,1355
101,2020-12-16,爱沙尼亚,297,18682,11669,157
102,2020-12-16,赞比亚,106,18428,17487,368
103,2020-12-16,马达加斯加,0,17587,16992,259
104,2020-12-16,塞内加尔,70,17216,16243,350
105,2020-12-16,莫桑比克,40,17042,15117,144
106,2020-12-16,纳米比亚,187,16913,14981,164
107,2020-12-16,安哥拉,85,16362,8990,372
108,2020-12-16,塞浦路斯,339,15789,2057,84
109,2020-12-16,刚果（金）,136,14597,12773,358
110,2020-12-16,几内亚,26,13457,12713,80
111,2020-12-16,马尔代夫,13,13392,12760,48
112,2020-12-16,博茨瓦纳,372,12873,10456,38
113,2020-12-16,塔吉克斯坦,36,12777,12212,88
114,2020-12-16,牙买加,165,11875,8212,276
115,2020-12-16,津巴布韦,164,11522,9599,310
116,2020-12-16,毛里塔尼亚,296,11431,8248,236
117,2020-12-16,佛得角,34,11395,11055,110
118,2020-12-16,马耳他,49,11303,9420,177
119,2020-12-16,乌拉圭,389,10418,6895,98
120,2020-12-16,海地,9,9597,8280,234
121,2020-12-16,古巴,96,9588,8592,137
122,2020-12-16,叙利亚,150,9452,4494,543
123,2020-12-16,伯利兹,82,9377,4414,197
124,2020-12-16,加蓬,21,9351,9204,63
125,2020-12-16,巴哈马,24,7698,6081,164
126,2020-12-16,安道尔,44,7382,6706,79
127,2020-12-16,斯威士兰,87,6912,6476,132
128,2020-12-16,特立尼达和多巴哥,15,6900,6204,123
129,2020-12-16,卢旺达,85,6832,6036,57
130,2020-12-16,刚果（布）,151,6200,4988,100
131,2020-12-16,马拉维,10,6080,5659,187
132,2020-12-16,圭亚那,30,5973,5144,156
133,2020-12-16,尼加拉瓜,0,5887,4225,162
134,2020-12-16,马里,42,5878,3697,205
135,2020-12-16,吉布提,21,5749,5628,61
136,2020-12-16,冰岛,7,5571,5401,28
137,2020-12-16,苏里南,22,5381,5231,117
138,2020-12-16,赤道几内亚,10,5195,5061,85
139,2020-12-16,中非共和国,0,4936,1924,63
140,2020-12-16,索马里,0,4579,3529,121
141,2020-12-16,布基纳法索,91,4300,2940,73
142,2020-12-16,泰国,9,4246,3949,60
143,2020-12-16,冈比亚,0,3782,3647,123
144,2020-12-16,多哥,29,3295,2821,66
145,2020-12-16,贝宁,0,3090,2972,44
146,2020-12-16,塞拉利昂,6,2451,1853,75
147,2020-12-16,几内亚比绍,3,2447,2378,44
148,2020-12-16,尼日尔,39,2361,1329,82
149,2020-12-16,莱索托,30,2307,1398,44
150,2020-12-16,新西兰,0,2096,2015,25
151,2020-12-16,也门,1,2085,1384,606
152,2020-12-16,圣马力诺,50,1982,1685,52
153,2020-12-16,乍得,13,1784,1611,102
154,2020-12-16,利比里亚,0,1676,1358,83
155,2020-12-16,列支敦士登公国,13,1579,1366,21
156,2020-12-16,越南,3,1405,1252,35
157,2020-12-16,蒙古,5,917,384,0
158,2020-12-16,布隆迪,6,735,640,1
159,2020-12-16,巴布亚新几内亚,0,725,601,8
161,2020-12-16,厄立特里亚,0,711,564,0
162,2020-12-16,摩纳哥,7,678,609,3
163,2020-12-16,科摩罗,5,633,606,7
164,2020-12-16,毛里求斯,9,524,489,10
165,2020-12-16,坦桑尼亚,0,509,183,21
166,2020-12-16,不丹,0,438,404,0
167,2020-12-16,柬埔寨,3,362,312,0
168,2020-12-16,巴巴多斯,1,297,273,7
169,2020-12-16,圣卢西亚,3,278,240,4
170,2020-12-16,塞舌尔,0,187,182,0
171,2020-12-16,文莱,0,152,147,3
172,2020-12-16,安提瓜和巴布达,0,148,138,5
173,2020-12-16,圣文森特和格林纳丁斯,0,98,81,0
174,2020-12-16,多米尼克,0,88,83,0
175,2020-12-16,格林纳达,0,69,41,0
176,2020-12-16,斐济,0,46,38,2
177,2020-12-16,老挝,0,41,34,0
178,2020-12-16,马提尼克岛,5,37,0,1
179,2020-12-16,东帝汶,0,31,30,0
180,2020-12-16,圣基茨和尼维斯,1,28,23,0
181,2020-12-16,梵蒂冈,0,27,15,0
182,2020-12-16,所罗门群岛,0,17,5,0
183,2020-12-16,马绍尔群岛,0,4,4,0
184,2020-12-16,瓦努阿图,0,1,1,0
185,2020-12-16,中国,112,95279,88823,4764
