,date,country,new_confirm,total_confirm,heal,dead
119,2020-12-04,加蓬,25,9239,9089,60
120,2020-12-04,毛里塔尼亚,142,9005,7785,181
121,2020-12-04,古巴,75,8531,7770,136
122,2020-12-04,叙利亚,88,8147,3748,432
123,2020-12-04,巴哈马,6,7549,5934,163
124,2020-12-04,伯利兹,1382,7236,3571,164
125,2020-12-04,安道尔,62,6904,6066,77
126,2020-12-04,特立尼达和多巴哥,21,6725,5861,121
127,2020-12-04,斯威士兰,19,6474,6044,122
128,2020-12-04,乌拉圭,230,6455,4707,80
129,2020-12-04,马拉维,3,6043,5472,185
130,2020-12-04,卢旺达,17,6011,5596,50
131,2020-12-04,尼加拉瓜,0,5838,4225,161
132,2020-12-04,刚果（布）,0,5774,4988,94
133,2020-12-04,吉布提,7,5689,5591,61
134,2020-12-04,圭亚那,79,5528,4618,151
135,2020-12-04,冰岛,14,5462,5223,27
136,2020-12-04,苏里南,2,5322,5203,117
137,2020-12-04,赤道几内亚,3,5159,5023,85
138,2020-12-04,中非共和国,0,4918,1924,63
139,2020-12-04,马里,43,4880,3281,162
140,2020-12-04,索马里,0,4525,3480,121
141,2020-12-04,泰国,14,4053,3839,60
142,2020-12-04,冈比亚,2,3767,3610,123
143,2020-12-04,布基纳法索,52,3062,2679,68
144,2020-12-04,贝宁,40,3055,2907,44
145,2020-12-04,多哥,25,3039,2567,65
146,2020-12-04,几内亚比绍,0,2441,2327,44
147,2020-12-04,塞拉利昂,3,2416,1840,74
148,2020-12-04,也门,22,2239,1525,624
149,2020-12-04,莱索托,8,2145,1278,44
150,2020-12-04,新西兰,9,2069,1983,25
151,2020-12-04,圣马力诺,64,1714,1356,46
152,2020-12-04,乍得,3,1708,1539,102
153,2020-12-04,利比里亚,68,1663,1358,83
154,2020-12-04,尼日尔,54,1640,1227,76
155,2020-12-04,越南,3,1361,1220,35
156,2020-12-04,列支敦士登公国,21,1339,1169,17
157,2020-12-04,蒙古,12,831,365,0
159,2020-12-04,布隆迪,3,692,575,1
160,2020-12-04,巴布亚新几内亚,2,671,597,7
161,2020-12-04,摩纳哥,9,630,570,3
162,2020-12-04,科摩罗,2,615,590,7
163,2020-12-04,厄立特里亚,17,594,498,0
164,2020-12-04,坦桑尼亚,0,509,183,21
165,2020-12-04,毛里求斯,3,508,465,10
166,2020-12-04,不丹,3,418,386,0
167,2020-12-04,柬埔寨,4,335,304,0
168,2020-12-04,巴巴多斯,2,281,257,7
169,2020-12-04,圣卢西亚,1,262,141,2
170,2020-12-04,塞舌尔,0,183,162,0
171,2020-12-04,文莱,0,151,146,3
172,2020-12-04,安提瓜和巴布达,2,144,133,4
173,2020-12-04,圣文森特和格林纳丁斯,2,87,80,0
174,2020-12-04,多米尼克,0,85,63,0
175,2020-12-04,斐济,2,44,33,2
176,2020-12-04,格林纳达,0,41,30,0
177,2020-12-04,老挝,0,39,26,0
178,2020-12-04,马提尼克岛,5,37,0,1
179,2020-12-04,东帝汶,1,31,30,0
180,2020-12-04,梵蒂冈,0,27,15,0
181,2020-12-04,圣基茨和尼维斯,0,22,19,0
182,2020-12-04,所罗门群岛,0,17,5,0
183,2020-12-04,马绍尔群岛,0,4,4,0
184,2020-12-04,瓦努阿图,0,1,1,0
185,2020-12-04,中国,114,94023,87761,4753
