,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-07,美国,173861,15159529,8855593,288906
1,2020-12-07,印度,36011,9644222,9100792,140182
2,2020-12-07,巴西,26363,6603540,5866657,176941
3,2020-12-07,俄罗斯,28701,2439163,1920744,42675
4,2020-12-07,法国,11022,2345648,175220,55247
5,2020-12-07,意大利,18887,1728878,913494,60078
6,2020-12-07,英国,17367,1727751,3736,61342
7,2020-12-07,西班牙,5554,1699145,196958,46252
8,2020-12-07,阿根廷,3278,1463110,1294692,39770
9,2020-12-07,哥伦比亚,8854,1371103,1257410,37808
10,2020-12-07,德国,1205,1184845,852992,18864
11,2020-12-07,墨西哥,11625,1168395,859643,109456
12,2020-12-07,波兰,9176,1063449,706720,20089
13,2020-12-07,伊朗,11561,1040547,730798,50310
14,2020-12-07,秘鲁,1828,972688,905696,36231
15,2020-12-07,乌克兰,11928,834913,435575,14054
16,2020-12-07,土耳其,30402,828295,431253,14900
17,2020-12-07,南非,4116,814565,744780,22206
18,2020-12-07,比利时,2503,589942,33687,17254
19,2020-12-07,印度尼西亚,6089,575796,474771,17740
20,2020-12-07,荷兰,133,566628,7300,9768
21,2020-12-07,伊拉克,1680,564200,493567,12432
22,2020-12-07,智利,1714,560382,534789,15628
23,2020-12-07,捷克,1109,546833,478094,8902
24,2020-12-07,罗马尼亚,5231,513576,405612,12320
25,2020-12-07,孟加拉,1756,477545,395960,6838
26,2020-12-07,菲律宾,1765,439834,408634,8554
27,2020-12-07,加拿大,6305,418848,334375,12688
28,2020-12-07,巴基斯坦,3308,416499,355012,8361
29,2020-12-07,摩洛哥,2919,379657,331301,6245
30,2020-12-07,沙特阿拉伯,187,358713,348879,5965
31,2020-12-07,以色列,678,344906,329368,2917
32,2020-12-07,瑞士,0,344497,260600,5349
33,2020-12-07,葡萄牙,9921,322474,243055,4963
34,2020-12-07,奥地利,2741,303430,252765,3840
35,2020-12-07,瑞典,0,278912,4917,7067
36,2020-12-07,匈牙利,6697,250278,71682,5868
37,2020-12-07,尼泊尔,1096,240981,225805,1594
38,2020-12-07,约旦,2576,240089,187444,3056
39,2020-12-07,塞尔维亚,5809,219652,15913,1949
40,2020-12-07,厄瓜多尔,607,197998,174188,13778
41,2020-12-07,哈萨克斯坦,966,179344,151134,2488
42,2020-12-07,巴拿马,1812,177719,152890,3193
43,2020-12-07,阿联酋,1153,176429,159132,592
44,2020-12-07,日本,2025,162895,135121,2259
45,2020-12-07,格鲁吉亚,4321,162475,133511,1504
46,2020-12-07,保加利亚,577,161421,62246,4797
47,2020-12-07,克罗地亚,2899,150353,124439,2174
48,2020-12-07,多米尼加,798,148453,116873,2345
49,2020-12-07,白俄罗斯,1878,147157,124774,1207
50,2020-12-07,阿塞拜疆,4356,146679,88497,1632
