,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-17,美国,246996,17392618,10170735,314577
1,2020-12-17,印度,26382,9932547,9456449,144096
2,2020-12-17,巴西,70574,7040608,6239192,183735
3,2020-12-17,俄罗斯,26074,2708940,2155842,47994
4,2020-12-17,法国,17668,2465126,186004,59472
5,2020-12-17,土耳其,29718,1928165,1691113,17121
6,2020-12-17,英国,25289,1918736,4106,65618
7,2020-12-17,意大利,17568,1888144,1175901,66537
8,2020-12-17,西班牙,11078,1782566,196958,48596
9,2020-12-17,阿根廷,6843,1517046,1347914,41365
10,2020-12-17,哥伦比亚,11953,1456599,1336166,39560
11,2020-12-17,德国,15852,1407487,1036682,23865
12,2020-12-17,墨西哥,11228,1267202,938089,115099
13,2020-12-17,波兰,12455,1159901,892650,23914
14,2020-12-17,伊朗,7603,1131077,844430,52883
15,2020-12-17,秘鲁,0,986130,922314,36754
16,2020-12-17,乌克兰,11057,945218,555675,16314
17,2020-12-17,南非,10008,883687,774585,23827
18,2020-12-17,荷兰,102,650072,8152,10333
19,2020-12-17,印度尼西亚,6725,636154,521984,19248
20,2020-12-17,比利时,2211,611422,33687,18178
21,2020-12-17,捷克,7897,594148,518423,9882
22,2020-12-17,伊拉克,1553,578916,513405,12636
23,2020-12-17,智利,1402,576731,549852,15959
24,2020-12-17,罗马尼亚,5991,571749,469499,13862
25,2020-12-17,孟加拉,1632,495841,429351,7156
26,2020-12-17,加拿大,6399,485576,397217,13815
27,2020-12-17,菲律宾,1149,452988,419282,8833
28,2020-12-17,巴基斯坦,2731,445977,388598,9010
29,2020-12-17,摩洛哥,3351,406970,366835,6749
30,2020-12-17,瑞士,5625,394453,311500,6379
31,2020-12-17,以色列,1755,365042,341217,3034
32,2020-12-17,沙特阿拉伯,322,360335,351192,6080
33,2020-12-17,葡萄牙,4720,358296,283719,5815
34,2020-12-17,瑞典,7556,348585,4917,7802
35,2020-12-17,奥地利,2664,330343,291042,4764
36,2020-12-17,匈牙利,2804,288567,83940,7381
37,2020-12-17,塞尔维亚,5353,282601,15913,2482
38,2020-12-17,约旦,2561,267585,230274,3465
