,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-18,美国,185020,17581917,10248197,317323
1,2020-12-18,印度,24010,9956557,9489740,144451
2,2020-12-18,巴西,69826,7110434,6301547,184827
3,2020-12-18,俄罗斯,27787,2736727,2181696,48568
4,2020-12-18,法国,18278,2483524,187199,59733
5,2020-12-18,土耳其,27515,1955680,1721607,17364
6,2020-12-18,英国,35500,1954268,4123,66150
7,2020-12-18,意大利,18233,1906377,1203814,67220
8,2020-12-18,西班牙,11081,1805633,196958,48777
9,2020-12-18,阿根廷,7326,1524372,1352556,41534
10,2020-12-18,哥伦比亚,12196,1468795,1343819,39787
11,2020-12-18,德国,10255,1438438,1059869,24611
12,2020-12-18,墨西哥,10297,1277499,945673,115769
13,2020-12-18,波兰,11953,1171854,903349,24345
14,2020-12-18,伊朗,7453,1138530,856513,53095
15,2020-12-18,秘鲁,3327,989457,924120,36858
16,2020-12-18,乌克兰,12474,957692,569200,16579
17,2020-12-18,南非,9126,892813,780313,24011
18,2020-12-18,荷兰,92,662943,8324,10408
19,2020-12-18,印度尼西亚,7354,643508,526979,19390
20,2020-12-18,比利时,3636,615058,33687,18278
21,2020-12-18,捷克,8256,602404,522649,10036
22,2020-12-18,伊拉克,1533,580449,515321,12650
23,2020-12-18,智利,2001,578732,551200,16007
24,2020-12-18,罗马尼亚,5697,577446,477139,13969
25,2020-12-18,孟加拉,1134,496975,431590,7192
26,2020-12-18,加拿大,6815,492582,402303,13940
27,2020-12-18,菲律宾,1459,454447,419902,8850
28,2020-12-18,巴基斯坦,2545,448522,396591,9080
29,2020-12-18,摩洛哥,2776,409746,369998,6804
30,2020-12-18,瑞士,5058,399511,311500,6487
31,2020-12-18,以色列,1363,367975,342985,3050
32,2020-12-18,葡萄牙,4320,362616,287028,5902
33,2020-12-18,沙特阿拉伯,181,360516,351365,6091
34,2020-12-18,瑞典,8881,357466,4917,7893
35,2020-12-18,奥地利,2485,332828,294315,4982
36,2020-12-18,匈牙利,2982,291549,86954,7538
37,2020-12-18,塞尔维亚,5129,287730,15913,2529
38,2020-12-18,约旦,2221,269806,233390,3496
39,2020-12-18,尼泊尔,776,251692,240363,1749
40,2020-12-18,厄瓜多尔,788,204249,177951,13932
41,2020-12-18,格鲁吉亚,2981,201368,169282,1953
42,2020-12-18,巴拿马,2960,199947,166600,3439
43,2020-12-18,阿塞拜疆,4124,191460,127064,2088
44,2020-12-18,日本,2,190915,158131,2661
45,2020-12-18,阿联酋,1321,189866,166541,629
46,2020-12-18,哈萨克斯坦,947,188837,160889,2613
47,2020-12-18,保加利亚,2042,188288,93728,6339
