,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-10,美国,191407,15784753,9196320,296072
1,2020-12-10,印度,32080,9735850,9215581,141360
2,2020-12-10,巴西,53453,6728452,5966118,178995
3,2020-12-10,俄罗斯,25838,2518551,1989710,44220
4,2020-12-10,法国,14574,2377771,178937,56751
5,2020-12-10,英国,16626,1771544,3777,62663
6,2020-12-10,意大利,12755,1770149,997895,61739
7,2020-12-10,西班牙,4886,1725473,196958,47019
8,2020-12-10,阿根廷,5303,1475222,1311488,40222
9,2020-12-10,哥伦比亚,7523,1392133,1287597,38308
10,2020-12-10,德国,12984,1242253,911364,20251
11,2020-12-10,墨西哥,11006,1193255,881050,110874
12,2020-12-10,波兰,12166,1088346,768241,21160
13,2020-12-10,伊朗,10223,1072620,765639,51212
14,2020-12-10,秘鲁,2709,976621,911113,36401
15,2020-12-10,土耳其,31712,925342,447361,15531
16,2020-12-10,乌克兰,12937,867991,469200,14702
17,2020-12-10,南非,6709,828598,754658,22574
18,2020-12-10,比利时,1957,594572,33687,17507
19,2020-12-10,印度尼西亚,6058,592900,487445,18171
20,2020-12-10,荷兰,94,586619,7545,9923
21,2020-12-10,伊拉克,1735,569873,499846,12501
22,2020-12-10,智利,1244,564778,539171,15690
23,2020-12-10,捷克,5857,556927,489759,9136
24,2020-12-10,罗马尼亚,7365,532040,425816,12821
25,2020-12-10,孟加拉,2159,484104,405966,6930
26,2020-12-10,菲律宾,1379,444164,408942,8677
27,2020-12-10,加拿大,6272,439142,354282,13009
28,2020-12-10,巴基斯坦,2963,426142,372271,8547
29,2020-12-10,摩洛哥,4096,388184,341685,6427
30,2020-12-10,瑞士,5086,363654,283000,5710
31,2020-12-10,沙特阿拉伯,159,359274,349624,6002
32,2020-12-10,以色列,1247,350271,332089,2934
33,2020-12-10,葡萄牙,4097,332073,254700,5192
34,2020-12-10,奥地利,2932,311002,265815,4056
35,2020-12-10,瑞典,7061,304793,4917,7296
