,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-11,美国,217779,16039393,9330865,299692
1,2020-12-11,印度,31521,9767371,9253306,141772
2,2020-12-11,巴西,53347,6781799,6043219,179765
3,2020-12-11,俄罗斯,27562,2546113,2015137,44769
4,2020-12-11,法国,13732,2391643,180348,57044
5,2020-12-11,英国,21050,1792605,3786,63179
6,2020-12-11,意大利,16998,1787147,1027994,62626
7,2020-12-11,西班牙,4595,1734386,196958,47344
8,2020-12-11,阿根廷,6994,1482216,1318187,40431
9,2020-12-11,哥伦比亚,7778,1399911,1296420,38484
10,2020-12-11,德国,12163,1270432,932218,20737
11,2020-12-11,墨西哥,11974,1205229,889168,111655
12,2020-12-11,波兰,13750,1102096,792119,21630
13,2020-12-11,伊朗,10403,1083023,778167,51496
14,2020-12-11,秘鲁,0,976621,912501,36401
15,2020-12-11,土耳其,30424,955766,452593,15751
16,2020-12-11,乌克兰,13736,881727,483553,14981
17,2020-12-11,南非,8166,836764,756671,22747
18,2020-12-11,印度尼西亚,6033,598933,491975,18336
19,2020-12-11,比利时,3071,597643,33687,17603
20,2020-12-11,荷兰,15,595378,7560,9985
21,2020-12-11,伊拉克,1380,571253,501967,12526
22,2020-12-11,智利,1662,566440,540288,15774
23,2020-12-11,捷克,6406,563333,493946,9226
24,2020-12-11,罗马尼亚,7067,539107,434679,12948
25,2020-12-11,孟加拉,1861,485965,410452,6967
26,2020-12-11,加拿大,6066,445828,361020,13130
27,2020-12-11,菲律宾,1376,445540,409058,8701
28,2020-12-11,巴基斯坦,3138,429280,374301,8603
29,2020-12-11,摩洛哥,3345,391529,345934,6492
30,2020-12-11,瑞士,5041,368695,288400,5824
31,2020-12-11,沙特阿拉伯,141,359415,349872,6012
32,2020-12-11,以色列,818,352397,333391,2961
33,2020-12-11,葡萄牙,3134,335207,259548,5278
34,2020-12-11,奥地利,2686,313688,269665,4163
35,2020-12-11,瑞典,7935,312728,4917,7354
36,2020-12-11,匈牙利,5415,265003,77362,6451
37,2020-12-11,约旦,2902,253121,206638,3250
38,2020-12-11,塞尔维亚,7393,249224,15913,2172
39,2020-12-11,尼泊尔,1217,245650,231601,1663
40,2020-12-11,厄瓜多尔,1151,200379,174188,13850
41,2020-12-11,巴拿马,1811,182977,157888,3264
42,2020-12-11,哈萨克斯坦,936,182657,154432,2546
43,2020-12-11,阿联酋,1255,181405,161741,602
44,2020-12-11,格鲁吉亚,4570,178953,148332,1657
45,2020-12-11,保加利亚,3075,174568,75232,5405
46,2020-12-11,日本,2975,172376,142850,2392
47,2020-12-11,克罗地亚,4620,163992,136721,2420
48,2020-12-11,阿塞拜疆,4219,162774,99892,1793
49,2020-12-11,白俄罗斯,1939,154392,132085,1238
50,2020-12-11,多米尼加,1560,151721,118770,2358
51,2020-12-11,哥斯达黎加,1127,149815,109855,1882
52,2020-12-11,玻利维亚,214,146060,125490,9004
53,2020-12-11,科威特,291,145495,141259,910
54,2020-12-11,亚美尼亚,1174,145240,121882,2416
55,2020-12-11,黎巴嫩,1778,142187,95737,1170
56,2020-12-11,卡塔尔,163,140516,138033,240
57,2020-12-11,危地马拉,659,127786,116442,4345
58,2020-12-11,阿曼,179,125669,117327,1463
59,2020-12-11,斯洛伐克,3125,124921,91455,1104
60,2020-12-11,摩尔多瓦,1715,122685,105238,2500
61,2020-12-11,希腊,1533,121253,23074,3370
62,2020-12-11,埃及,445,120147,104281,6854
63,2020-12-11,埃塞俄比亚,526,115360,88975,1779
64,2020-12-11,洪都拉斯,617,112792,50888,2961
65,2020-12-11,突尼斯,958,107814,82193,3758
66,2020-12-11,委内瑞拉,468,105852,101384,933
67,2020-12-11,巴勒斯坦,1887,104879,78715,910
68,2020-12-11,缅甸,1321,104487,82813,2201
69,2020-12-11,丹麦,3132,101027,76185,918
70,2020-12-11,波黑,1286,98603,62592,3199
71,2020-12-11,斯洛文尼亚,1847,91922,69170,1949
72,2020-12-11,巴拉圭,812,90958,64527,1914
73,2020-12-11,阿尔及利亚,565,90579,59135,2564
74,2020-12-11,肯尼亚,644,90305,71254,1568
75,2020-12-11,利比亚,661,89183,59222,1273
76,2020-12-11,巴林,137,88632,86684,347
77,2020-12-11,立陶宛,3327,83883,34975,735
78,2020-12-11,马来西亚,2234,78499,66236,396
79,2020-12-11,吉尔吉斯斯坦,379,76391,68894,1306
80,2020-12-11,爱尔兰,303,75203,23364,2117
81,2020-12-11,乌兹别克斯坦,146,74498,71740,611
82,2020-12-11,尼日利亚,675,71344,65474,1190
83,2020-12-11,北马其顿,929,70883,47364,2051
84,2020-12-11,新加坡,6,58297,58188,29
85,2020-12-11,加纳,116,52738,51518,326
86,2020-12-11,阿富汗,202,48053,38099,1935
87,2020-12-11,阿尔巴尼亚,873,46061,23609,965
88,2020-12-11,萨尔瓦多,0,40741,37172,1180
89,2020-12-11,黑山,558,40165,29054,566
90,2020-12-11,韩国,666,40098,30637,564
91,2020-12-11,卢森堡,1561,40037,30898,384
92,2020-12-11,挪威,255,40023,17998,382
93,2020-12-11,斯里兰卡,238,30613,22261,146
94,2020-12-11,芬兰,840,29572,20000,442
95,2020-12-11,澳大利亚,9,28009,25665,908
96,2020-12-11,乌干达,671,25730,9605,220
97,2020-12-11,喀麦隆,211,24963,23344,443
98,2020-12-11,拉脱维亚,890,23706,1866,304
99,2020-12-11,科特迪瓦,43,21590,21203,133
100,2020-12-11,苏丹,384,20468,11673,1319
101,2020-12-11,赞比亚,128,18091,17307,364
