,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-09,美国,166388,15549976,9061299,292931
1,2020-12-09,印度,26567,9703770,9178946,140958
2,2020-12-09,巴西,51088,6674999,5965492,178159
3,2020-12-09,俄罗斯,25752,2492713,1963864,43674
4,2020-12-09,法国,14137,2363196,177558,56453
5,2020-12-09,意大利,14837,1757394,958629,61240
6,2020-12-09,英国,12353,1754881,3761,62130
7,2020-12-09,西班牙,6255,1715700,196958,46646
8,2020-12-09,阿根廷,3610,1469919,1305587,40009
9,2020-12-09,哥伦比亚,7510,1384610,1278326,38158
10,2020-12-09,德国,8844,1218325,892115,19709
11,2020-12-09,墨西哥,6399,1182249,873555,110074
12,2020-12-09,波兰,8310,1076180,738845,20592
13,2020-12-09,伊朗,11023,1062397,754224,50917
14,2020-12-09,秘鲁,0,973912,909389,36274
15,2020-12-09,土耳其,33198,893630,441515,15314
16,2020-12-09,乌克兰,11156,855054,454226,14413
17,2020-12-09,南非,4011,821889,753072,22432
18,2020-12-09,比利时,859,592615,33687,17386
19,2020-12-09,印度尼西亚,5292,586842,483497,18000
20,2020-12-09,荷兰,90,579991,7402,9857
21,2020-12-09,伊拉克,2123,568138,498064,12477
22,2020-12-09,智利,3152,563534,537727,15680
23,2020-12-09,捷克,4237,551070,484781,9036
24,2020-12-09,罗马尼亚,7439,524675,416797,12660
25,2020-12-09,孟加拉,2202,481945,401194,6906
26,2020-12-09,菲律宾,1386,442785,408790,8670
27,2020-12-09,加拿大,6114,432743,348353,12887
28,2020-12-09,巴基斯坦,2885,423179,370474,8487
29,2020-12-09,摩洛哥,2900,384088,337719,6370
30,2020-12-09,沙特阿拉伯,193,359115,349414,5989
31,2020-12-09,瑞士,4262,358568,279900,5593
32,2020-12-09,以色列,788,348285,331055,2932
33,2020-12-09,葡萄牙,2905,327976,252428,5122
34,2020-12-09,奥地利,2377,308070,262314,4002
35,2020-12-09,瑞典,18820,297732,4917,7200
36,2020-12-09,匈牙利,2219,256367,75281,6120
37,2020-12-09,约旦,3062,247131,197058,3162
38,2020-12-09,尼泊尔,1382,243377,229054,1637
39,2020-12-09,塞尔维亚,7818,234027,15913,2062
40,2020-12-09,厄瓜多尔,508,198752,174188,13794
41,2020-12-09,巴拿马,1936,181166,155870,3241
42,2020-12-09,哈萨克斯坦,688,180777,152379,2544
43,2020-12-09,阿联酋,1260,178837,160295,596
44,2020-12-09,格鲁吉亚,4673,169649,141392,1576
45,2020-12-09,保加利亚,3980,168165,69028,5156
46,2020-12-09,日本,46,166591,138838,2334
47,2020-12-09,克罗地亚,2613,154852,130869,2298
48,2020-12-09,阿塞拜疆,4387,154152,93411,1713
49,2020-12-09,白俄罗斯,1649,150602,127528,1222
50,2020-12-09,多米尼加,492,149630,117804,2347
51,2020-12-09,哥斯达黎加,1009,147430,105686,1846
52,2020-12-09,玻利维亚,97,145657,124981,8997
53,2020-12-09,科威特,301,144900,140638,900
54,2020-12-09,亚美尼亚,584,142928,119147,2372
55,2020-12-09,卡塔尔,295,140203,137708,239
56,2020-12-09,黎巴嫩,1039,139135,93100,1136
57,2020-12-09,危地马拉,799,126473,115406,4286
58,2020-12-09,阿曼,210,125325,116720,1454
59,2020-12-09,埃及,434,119281,103913,6813
60,2020-12-09,斯洛伐克,1949,119232,87433,1046
61,2020-12-09,摩尔多瓦,1709,119204,102565,2460
62,2020-12-09,希腊,1324,118045,23074,3194
63,2020-12-09,埃塞俄比亚,531,114266,84948,1766
64,2020-12-09,洪都拉斯,684,111707,49781,2950
65,2020-12-09,突尼斯,1116,105445,80082,3668
66,2020-12-09,委内瑞拉,462,104904,99982,924
67,2020-12-09,缅甸,1308,101739,80726,2151
68,2020-12-09,巴勒斯坦,1351,101109,75257,867
69,2020-12-09,波黑,1077,96021,60210,3081
70,2020-12-09,丹麦,1,95332,73572,901
