,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-12,美国,246530,16295458,9507419,302750
1,2020-12-12,印度,29398,9796769,9290834,142186
2,2020-12-12,巴西,53347,6781799,6076719,179765
3,2020-12-12,俄罗斯,28206,2574319,2041006,45370
4,2020-12-12,法国,13567,2405210,181581,57671
5,2020-12-12,英国,21783,1814395,3799,63603
6,2020-12-12,意大利,18726,1805873,1052163,63387
7,2020-12-12,西班牙,7053,1741439,196958,47624
8,2020-12-12,阿根廷,7112,1489328,1324792,40606
9,2020-12-12,哥伦比亚,8998,1408909,1304299,38669
10,2020-12-12,德国,11684,1298776,952527,21296
11,2020-12-12,墨西哥,11897,1217126,904042,113019
12,2020-12-12,波兰,13105,1115201,815356,22174
13,2020-12-12,伊朗,9384,1092407,787853,51727
14,2020-12-12,秘鲁,2490,979111,914600,36499
15,2020-12-12,土耳其,30424,955766,452593,15751
16,2020-12-12,乌克兰,13893,895620,499182,15278
17,2020-12-12,南非,8319,845083,758373,22952
18,2020-12-12,印度尼西亚,6310,605243,496886,18511
19,2020-12-12,荷兰,141,604452,7747,10051
20,2020-12-12,比利时,2754,600397,33687,17692
21,2020-12-12,伊拉克,1347,572600,503897,12549
22,2020-12-12,捷克,5872,569205,497828,9341
23,2020-12-12,智利,1534,567974,541345,15782
24,2020-12-12,罗马尼亚,6460,545567,443168,13116
25,2020-12-12,孟加拉,1884,487849,414318,6986
26,2020-12-12,加拿大,6092,452543,367837,13267
27,2020-12-12,菲律宾,1499,447039,409329,8709
28,2020-12-12,巴基斯坦,3047,432327,379092,8653
29,2020-12-12,摩洛哥,3035,394564,349821,6542
30,2020-12-12,瑞士,5136,373831,291500,5928
31,2020-12-12,沙特阿拉伯,309,359583,350108,6023
32,2020-12-12,以色列,1690,353269,333900,2969
33,2020-12-12,葡萄牙,8214,340287,263648,5373
34,2020-12-12,瑞典,7370,320098,4917,7514
35,2020-12-12,奥地利,2893,316581,273503,4289
36,2020-12-12,匈牙利,6197,271200,78700,6622
37,2020-12-12,塞尔维亚,6534,255758,15913,2227
38,2020-12-12,约旦,2338,255459,209746,3286
39,2020-12-12,尼泊尔,1044,246694,232872,1674
40,2020-12-12,厄瓜多尔,386,200765,174188,13858
41,2020-12-12,巴拿马,2355,187779,159070,3309
42,2020-12-12,哈萨克斯坦,789,184419,156011,2550
43,2020-12-12,格鲁吉亚,4146,183099,150461,1694
44,2020-12-12,阿联酋,1196,182601,162435,607
45,2020-12-12,保加利亚,3097,177665,79522,5562
46,2020-12-12,日本,2794,175170,144858,2445
47,2020-12-12,克罗地亚,4396,168388,140898,2484
48,2020-12-12,阿塞拜疆,4381,167155,103550,1840
49,2020-12-12,白俄罗斯,1967,156359,133930,1246
50,2020-12-12,多米尼加,731,152452,118877,2359
51,2020-12-12,哥斯达黎加,1132,150947,112622,1895
52,2020-12-12,玻利维亚,325,146385,125716,9008
53,2020-12-12,亚美尼亚,1077,146317,123474,2445
54,2020-12-12,科威特,294,145789,141569,910
55,2020-12-12,黎巴嫩,1518,143705,97647,1182
56,2020-12-12,卡塔尔,164,140680,138194,240
57,2020-12-12,危地马拉,755,128541,117013,4376
58,2020-12-12,斯洛伐克,2166,127087,93533,1122
59,2020-12-12,阿曼,0,125669,117327,1463
60,2020-12-12,摩尔多瓦,1579,124264,106471,2521
61,2020-12-12,希腊,1395,122648,23074,3472
62,2020-12-12,埃及,464,120611,104499,6877
63,2020-12-12,埃塞俄比亚,422,115782,91209,1791
64,2020-12-12,洪都拉斯,415,113207,50948,2968
65,2020-12-12,突尼斯,1290,109104,83162,3801
66,2020-12-12,委内瑞拉,435,106715,101823,944
67,2020-12-12,巴勒斯坦,1743,106622,81166,931
68,2020-12-12,缅甸,1376,105863,84338,2220
69,2020-12-12,丹麦,3076,104103,77448,927
70,2020-12-12,波黑,940,99543,63733,3250
71,2020-12-12,斯洛文尼亚,3,93737,70733,1998
72,2020-12-12,巴拉圭,1155,92113,65176,1927
73,2020-12-12,阿尔及利亚,542,91121,59590,2575
74,2020-12-12,肯尼亚,673,90978,71579,1582
75,2020-12-12,利比亚,697,89880,59839,1278
76,2020-12-12,巴林,188,88820,86867,347
77,2020-12-12,立陶宛,3066,86949,36168,764
78,2020-12-12,马来西亚,1810,80309,67173,402
79,2020-12-12,吉尔吉斯斯坦,327,76718,69341,1307
80,2020-12-12,爱尔兰,304,75507,23364,2120
81,2020-12-12,乌兹别克斯坦,166,74664,71921,611
82,2020-12-12,尼日利亚,796,72140,65722,1190
83,2020-12-12,北马其顿,1161,72044,48170,2077
84,2020-12-12,新加坡,8,58305,58192,29
85,2020-12-12,加纳,0,52738,51518,326
86,2020-12-12,阿富汗,63,48116,38141,1945
87,2020-12-12,阿尔巴尼亚,802,46863,24136,977
88,2020-12-12,韩国,950,41736,31493,578
89,2020-12-12,卢森堡,718,40755,31678,392
90,2020-12-12,萨尔瓦多,0,40741,37172,1186
91,2020-12-12,黑山,381,40546,29462,569
92,2020-12-12,挪威,245,40439,17998,387
93,2020-12-12,斯里兰卡,226,31375,22831,146
94,2020-12-12,芬兰,501,30073,20000,453
95,2020-12-12,澳大利亚,13,28025,25671,908
96,2020-12-12,乌干达,639,26369,9646,220
97,2020-12-12,喀麦隆,124,25087,23851,443
98,2020-12-12,拉脱维亚,680,24386,1866,319
99,2020-12-12,科特迪瓦,28,21618,21234,133
100,2020-12-12,苏丹,0,20468,11673,1319
101,2020-12-12,赞比亚,70,18161,17329,365
102,2020-12-12,马达加斯加,0,17473,16927,255
103,2020-12-12,爱沙尼亚,358,16956,10533,142
104,2020-12-12,塞内加尔,127,16893,16015,345
105,2020-12-12,莫桑比克,159,16680,14793,139
106,2020-12-12,纳米比亚,324,16097,14332,160
107,2020-12-12,安哥拉,136,16061,8798,365
108,2020-12-12,刚果（金）,173,14169,12208,350
109,2020-12-12,塞浦路斯,363,13649,2057,70
110,2020-12-12,几内亚,30,13398,12626,79
111,2020-12-12,马尔代夫,18,13326,12640,48
112,2020-12-12,塔吉克斯坦,0,12588,12009,88
113,2020-12-12,博茨瓦纳,443,12501,9940,37
114,2020-12-12,牙买加,140,11509,7667,270
115,2020-12-12,佛得角,59,11262,10894,110
116,2020-12-12,津巴布韦,81,11162,9324,306
117,2020-12-12,马耳他,96,10980,8935,166
118,2020-12-12,毛里塔尼亚,233,10501,7957,210
119,2020-12-12,海地,31,9465,8214,233
120,2020-12-12,加蓬,30,9330,9182,63
121,2020-12-12,古巴,86,9267,8290,136
122,2020-12-12,伯利兹,160,8965,4219,185
123,2020-12-12,叙利亚,124,8911,4243,491
124,2020-12-12,乌拉圭,362,8849,5941,90
125,2020-12-12,巴哈马,38,7623,6043,163
126,2020-12-12,安道尔,46,7236,6598,78
127,2020-12-12,特立尼达和多巴哥,19,6852,6103,122
128,2020-12-12,斯威士兰,52,6685,6279,126
129,2020-12-12,卢旺达,79,6428,5826,54
130,2020-12-12,马拉维,2,6055,5490,186
131,2020-12-12,刚果（布）,0,6049,4988,99
132,2020-12-12,尼加拉瓜,0,5887,4225,162
133,2020-12-12,圭亚那,28,5839,4944,154
134,2020-12-12,吉布提,4,5721,5608,61
135,2020-12-12,马里,73,5649,3537,185
136,2020-12-12,冰岛,15,5539,5323,28
137,2020-12-12,苏里南,2,5339,5220,117
138,2020-12-12,赤道几内亚,0,5183,5048,85
139,2020-12-12,中非共和国,9,4936,1924,63
140,2020-12-12,索马里,0,4579,3529,121
141,2020-12-12,泰国,11,4180,3903,60
142,2020-12-12,冈比亚,3,3779,3645,123
143,2020-12-12,布基纳法索,110,3579,2792,69
144,2020-12-12,多哥,20,3202,2726,66
145,2020-12-12,贝宁,0,3090,2972,44
146,2020-12-12,几内亚比绍,0,2444,2337,44
147,2020-12-12,塞拉利昂,3,2438,1850,75
148,2020-12-12,莱索托,36,2214,1302,44
149,2020-12-12,尼日尔,34,2160,1269,80
150,2020-12-12,新西兰,4,2092,2010,25
151,2020-12-12,也门,1,2082,1383,606
152,2020-12-12,圣马力诺,74,1908,1555,50
153,2020-12-12,乍得,6,1745,1595,102
154,2020-12-12,利比里亚,0,1676,1358,83
155,2020-12-12,列支敦士登公国,25,1466,1296,20
156,2020-12-12,越南,6,1391,1238,35
157,2020-12-12,蒙古,7,905,384,0
158,2020-12-12,布隆迪,2,723,640,1
