,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-08,美国,173050,15343304,8961328,290305
1,2020-12-08,印度,32981,9677203,9139901,140573
2,2020-12-08,巴西,20371,6623911,5897526,177317
3,2020-12-08,俄罗斯,27798,2466961,1939393,43122
4,2020-12-08,法国,3411,2349059,175919,55613
5,2020-12-08,意大利,13679,1742557,933132,60606
6,2020-12-08,英国,14769,1742524,3747,61531
7,2020-12-08,西班牙,6255,1715700,196958,46646
8,2020-12-08,阿根廷,3199,1466309,1300696,39888
9,2020-12-08,哥伦比亚,5998,1377101,1267595,37995
10,2020-12-08,德国,5456,1200006,872288,19139
11,2020-12-08,墨西哥,7455,1175850,866186,109717
12,2020-12-08,波兰,4421,1067870,722446,20181
13,2020-12-08,伊朗,10827,1051374,742955,50594
14,2020-12-08,秘鲁,1224,973912,907654,36274
15,2020-12-08,土耳其,32137,860432,436270,15103
16,2020-12-08,乌克兰,8985,843898,440899,14208
17,2020-12-08,南非,3313,817878,745750,22249
18,2020-12-08,比利时,1814,591756,33687,17320
19,2020-12-08,印度尼西亚,5754,581550,479202,17867
20,2020-12-08,荷兰,39,573736,7328,9786
21,2020-12-08,伊拉克,1815,566015,495725,12460
22,2020-12-08,智利,1760,562142,536267,15663
23,2020-12-08,捷克,1109,546833,478094,8902
24,2020-12-08,罗马尼亚,3660,517236,409121,12447
25,2020-12-08,孟加拉,2198,479743,398623,6874
26,2020-12-08,菲律宾,1565,441399,408702,8572
27,2020-12-08,加拿大,7658,426572,344034,12796
28,2020-12-08,巴基斯坦,3795,420294,356542,8398
29,2020-12-08,摩洛哥,1531,381188,334269,6320
30,2020-12-08,沙特阿拉伯,209,358922,349168,5977
31,2020-12-08,瑞士,9809,354306,279900,5495
32,2020-12-08,以色列,1136,346797,330188,2924
33,2020-12-08,葡萄牙,2597,325071,245843,5041
34,2020-12-08,奥地利,2263,305693,256811,3897
35,2020-12-08,瑞典,0,278912,4917,7067
36,2020-12-08,匈牙利,3870,254148,74283,5984
37,2020-12-08,约旦,6556,244069,192033,3116
38,2020-12-08,尼泊尔,1014,241995,227433,1614
39,2020-12-08,塞尔维亚,6557,226209,15913,2005
40,2020-12-08,厄瓜多尔,246,198244,174188,13780
41,2020-12-08,哈萨克斯坦,745,180089,151755,2488
42,2020-12-08,巴拿马,1812,177719,152890,3193
43,2020-12-08,阿联酋,1148,177577,159711,594
44,2020-12-08,格鲁吉亚,2501,164976,137499,1540
45,2020-12-08,日本,16,164417,136747,2298
46,2020-12-08,保加利亚,2764,164185,65616,5010
47,2020-12-08,克罗地亚,1886,152239,127882,2233
48,2020-12-08,阿塞拜疆,3086,149765,90278,1675
49,2020-12-08,多米尼加,685,149138,117402,2346
50,2020-12-08,白俄罗斯,1796,148953,126084,1215
51,2020-12-08,哥斯达黎加,2736,146421,102855,1825
52,2020-12-08,玻利维亚,68,145560,124799,8995
53,2020-12-08,科威特,230,144599,140341,897
54,2020-12-08,亚美尼亚,407,142344,117649,2344
55,2020-12-08,卡塔尔,178,140086,137494,239
56,2020-12-08,黎巴嫩,984,138096,90229,1115
57,2020-12-08,危地马拉,124,125674,114697,4274
58,2020-12-08,阿曼,229,125115,116506,1452
59,2020-12-08,埃及,415,118847,103703,6790
60,2020-12-08,摩尔多瓦,1130,117495,101938,2438
61,2020-12-08,斯洛伐克,552,117283,84850,1018
62,2020-12-08,希腊,1250,116721,23074,3092
63,2020-12-08,埃塞俄比亚,440,113735,82803,1755
64,2020-12-08,洪都拉斯,1063,111023,49456,2946
65,2020-12-08,委内瑞拉,265,104442,99494,919
66,2020-12-08,突尼斯,327,104329,77798,3596
67,2020-12-08,缅甸,1276,100431,79240,2132
68,2020-12-08,巴勒斯坦,1720,99758,74053,848
69,2020-12-08,波黑,437,94944,59488,3012
70,2020-12-08,丹麦,2046,93177,72401,894
71,2020-12-08,阿尔及利亚,573,88825,57648,2527
72,2020-12-08,巴拉圭,803,88723,62603,1872
73,2020-12-08,肯尼亚,199,88579,69414,1531
74,2020-12-08,巴林,181,88111,86215,341
75,2020-12-08,利比亚,517,87097,57380,1243
76,2020-12-08,斯洛文尼亚,480,86285,63999,1796
77,2020-12-08,立陶宛,1387,76036,30449,637
78,2020-12-08,吉尔吉斯斯坦,422,75395,67400,1297
79,2020-12-08,爱尔兰,222,74468,23364,2099
80,2020-12-08,马来西亚,1600,74294,62306,384
81,2020-12-08,乌兹别克斯坦,149,74053,71315,611
82,2020-12-08,尼日利亚,390,69645,64947,1181
83,2020-12-08,北马其顿,364,68332,44705,1949
84,2020-12-08,新加坡,13,58273,58168,29
85,2020-12-08,加纳,76,52274,51063,325
86,2020-12-08,阿富汗,210,47516,37879,1900
87,2020-12-08,阿尔巴尼亚,695,43683,22180,922
88,2020-12-08,萨尔瓦多,214,40345,36735,1164
89,2020-12-08,挪威,163,38703,17998,359
90,2020-12-08,黑山,316,38562,27651,543
91,2020-12-08,卢森堡,1459,38476,29792,360
92,2020-12-08,韩国,615,38161,29301,549
93,2020-12-08,斯里兰卡,377,28580,20804,142
94,2020-12-08,澳大利亚,12,27984,25643,908
95,2020-12-08,芬兰,250,27881,18100,424
96,2020-12-08,喀麦隆,0,24752,23344,443
97,2020-12-08,乌干达,701,23200,9374,207
98,2020-12-08,拉脱维亚,207,21520,1866,272
99,2020-12-08,科特迪瓦,22,21507,21150,132
100,2020-12-08,苏丹,279,19747,11184,1301
101,2020-12-08,赞比亚,15,17931,17211,364
102,2020-12-08,马达加斯加,0,17513,16927,255
103,2020-12-08,塞内加尔,76,16553,15806,340
104,2020-12-08,莫桑比克,82,16326,14429,136
105,2020-12-08,安哥拉,57,15648,8353,354
106,2020-12-08,爱沙尼亚,248,15226,9009,134
107,2020-12-08,纳米比亚,141,15219,13949,152
108,2020-12-08,刚果（金）,68,13595,12059,344
109,2020-12-08,几内亚,31,13264,12465,79
110,2020-12-08,马尔代夫,15,13213,12437,47
111,2020-12-08,塞浦路斯,416,12867,2057,63
112,2020-12-08,塔吉克斯坦,41,12469,11881,87
113,2020-12-08,博茨瓦纳,527,12058,9400,36
114,2020-12-08,牙买加,121,11184,7146,265
115,2020-12-08,佛得角,35,11098,10676,109
116,2020-12-08,津巴布韦,121,10839,8972,294
117,2020-12-08,马耳他,139,10659,8497,155
118,2020-12-08,毛里塔尼亚,163,9679,7849,194
119,2020-12-08,海地,29,9399,8148,233
120,2020-12-08,加蓬,24,9278,9132,60
121,2020-12-08,古巴,124,8906,7997,136
122,2020-12-08,叙利亚,87,8490,4000,452
123,2020-12-08,伯利兹,184,7953,3943,176
124,2020-12-08,巴哈马,9,7579,6003,163
125,2020-12-08,乌拉圭,202,7505,5240,83
126,2020-12-08,安道尔,34,7084,6293,78
127,2020-12-08,特立尼达和多巴哥,8,6775,5962,122
128,2020-12-08,斯威士兰,28,6529,6094,123
129,2020-12-08,卢旺达,62,6191,5696,51
130,2020-12-08,马拉维,2,6051,5476,185
131,2020-12-08,尼加拉瓜,0,5838,4225,161
132,2020-12-08,刚果（布）,0,5774,4988,94
133,2020-12-08,吉布提,7,5708,5596,61
134,2020-12-08,圭亚那,32,5697,4779,154
135,2020-12-08,冰岛,14,5496,5272,27
136,2020-12-08,苏里南,1,5325,5214,117
137,2020-12-08,马里,155,5290,3377,175
138,2020-12-08,赤道几内亚,7,5166,5036,85
139,2020-12-08,中非共和国,0,4922,1924,63
140,2020-12-08,索马里,54,4579,3529,121
141,2020-12-08,泰国,21,4107,3868,60
142,2020-12-08,冈比亚,0,3770,3615,123
143,2020-12-08,布基纳法索,103,3315,2721,68
144,2020-12-08,多哥,16,3111,2677,65
145,2020-12-08,贝宁,18,3073,2922,44
146,2020-12-08,几内亚比绍,3,2444,2337,44
147,2020-12-08,塞拉利昂,2,2428,1846,74
148,2020-12-08,也门,46,2383,1554,649
149,2020-12-08,莱索托,0,2150,1278,44
150,2020-12-08,新西兰,1,2079,1998,25
151,2020-12-08,尼日尔,38,1894,1239,78
152,2020-12-08,圣马力诺,11,1800,1438,48
153,2020-12-08,乍得,3,1728,1571,102
154,2020-12-08,利比里亚,0,1676,1358,83
155,2020-12-08,列支敦士登公国,1,1397,1235,19
156,2020-12-08,越南,1,1367,1224,35
157,2020-12-08,蒙古,38,887,384,0
159,2020-12-08,布隆迪,4,698,630,1
160,2020-12-08,巴布亚新几内亚,0,671,597,7
161,2020-12-08,厄立特里亚,17,649,517,0
162,2020-12-08,摩纳哥,3,641,577,3
163,2020-12-08,科摩罗,0,616,600,7
164,2020-12-08,毛里求斯,3,511,478,10
165,2020-12-08,坦桑尼亚,0,509,183,21
166,2020-12-08,不丹,4,430,388,0
167,2020-12-08,柬埔寨,2,348,306,0
168,2020-12-08,巴巴多斯,2,287,260,7
169,2020-12-08,圣卢西亚,5,270,165,2
170,2020-12-08,塞舌尔,0,184,168,0
171,2020-12-08,文莱,0,151,147,3
172,2020-12-08,安提瓜和巴布达,2,146,134,4
173,2020-12-08,圣文森特和格林纳丁斯,0,87,80,0
174,2020-12-08,多米尼克,0,85,72,0
175,2020-12-08,斐济,0,44,33,2
176,2020-12-08,格林纳达,2,43,41,0
177,2020-12-08,老挝,2,41,26,0
178,2020-12-08,马提尼克岛,5,37,0,1
179,2020-12-08,东帝汶,0,31,30,0
180,2020-12-08,梵蒂冈,0,27,15,0
